State,Majority,coded
AL,Trump,0
AK,Trump,0
AZ,Biden,1
AR,Trump,0
CA,Biden,1
CO,Biden,1
CT,Biden,1
DE,Biden,1
FL,Trump,0
GA,Biden,1
HI,Biden,1
ID,Trump,0
IL,Biden,1
IN,Trump,0
IA,Trump,0
KS,Trump,0
KY,Trump,0
LA,Trump,0
MD,Biden,1
MA,Biden,1
MI,Biden,1
MN,Biden,1
MS,Trump,0
MO,Trump,0
MT,Trump,0
NE,Trump ,1
NV,Biden,1
NH,Biden,1
NJ,Biden,1
NM,Biden,1
NY,Biden,1
NC,Trump,0
ND,Trump,0
OH,Trump,0
OK,Trump,0
OR,Biden,1
PA,Biden,1
RI,Biden,1
SC,Trump,0
SD,Trump,0
TN,Trump,0
TX,Trump,0
UT,Trump,0
VT,Biden,1
VA,Biden,1
WV,Trump,0
WI,Biden,1
WY,Trump,0
WA,Biden,1
,,
